Flight Information:
Launch Date:            	     	                       	Tuesday, 02 July 2019	     	                   	          	Launch Time:    	     	             	22:35:39  	          	        	End of Ascent:	     	         	00:53:32
Station name:           	     	                       	                     	     	                   	          	Number of sonde:	     	             	19002086
Ground values:
Pressure:               	     	                       	874.4 hPa            	     	                   	          	Temperature:    	     	             	16.4 ?C   	          	        	Humidity:     	     	         	12 %
Wind Direction:         	     	                       	235 ?                	     	                   	          	Wind Speed:     	     	             	3 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-71.063 ?            	     	                   	          	Latitude:       	     	             	-30.250 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                     	     	                   	          	
Events:
Highest Point:          	     	                       	58.1 hPa             	     	                   	          	19661 m
Tropopauses:            	     	                       	1.: 160.7 hPa        	     	                   	          	                	     	             	
Max Winds:              	     	                       	1.: 145.8 hPa        	     	                   	          	2.: 83.1 hPa    	     	             	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                   	Ws   	Wd                 	Long.     	Lat.            	Alt  	Geopot       	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[?C]                   	[%]                  	[m/s]	[?]                	[?]       	[?]             	[m]  	[m]          	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	874.4	16.4                   	12                   	2.5  	235                	-71.063100	-30.250400      	1283 	1283         	436.306   	234.875   	-13.0   	16.7          	0.0  	0.9      	226     	12   	1.052215
1                       	873.4	16.4                   	12                   	2.6  	232                	-71.063087	-30.250350      	1289 	1289         	436.973   	234.616   	-12.9   	16.7          	5.9  	38.8     	250     	10   	1.051043
2                       	872.5	16.4                   	12                   	2.6  	229                	-71.063074	-30.250299      	1295 	1295         	437.641   	234.357   	-12.9   	16.7          	5.9  	61.2     	297     	14   	1.049872
3                       	871.5	16.4                   	12                   	2.7  	227                	-71.063062	-30.250249      	1301 	1300         	438.324   	234.099   	-12.8   	16.7          	5.9  	61.6     	332     	20   	1.048702
4                       	870.5	16.4                   	12                   	2.8  	224                	-71.063049	-30.250199      	1307 	1306         	438.992   	233.840   	-12.8   	16.7          	5.9  	58.7     	346     	28   	1.047533
5                       	869.6	16.4                   	12                   	2.8  	221                	-71.063036	-30.250149      	1313 	1312         	439.661   	233.583   	-12.7   	16.7          	5.9  	56.4     	354     	36   	1.046366
6                       	868.6	16.4                   	12                   	2.9  	219                	-71.063023	-30.250098      	1319 	1318         	440.329   	233.325   	-12.7   	16.7          	5.9  	54.7     	358     	44   	1.045200
7                       	867.8	16.4                   	12                   	3.0  	216                	-71.063010	-30.250048      	1325 	1324         	441.060   	233.114   	-12.6   	16.7          	5.9  	53.5     	001     	52   	1.044243
8                       	867.4	16.4                   	12                   	3.1  	214                	-71.062997	-30.249998      	1330 	1329         	441.865   	232.992   	-12.7   	16.7          	5.9  	52.5     	002     	60   	1.043703
