Flight Information:
Launch Date:            	     	                       	Thursday, 02 July 2020	     	                       	           	Launch Time: 	     	            	18:20:24	       	     	End of Ascent:	     	         	01:42:32
Station name:           	     	                       	                      	     	                       	           	Serialnumber:	     	            	20026301
Ground values:
Pressure:               	     	                       	925.4 hPa             	     	                       	           	Temperature: 	     	            	15.5 °C 	       	     	Humidity:     	     	         	59 %
Wind Direction:         	     	                       	274 °                 	     	                       	           	Wind Speed:  	     	            	2 m/s   	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	     	                       	-117.014 °            	     	                       	           	Latitude:    	     	            	46.730 °	       	     	Altitude:     	     	         	787 m
Staff:
Company:                	     	                       	
Operator:               	     	                       	                      	     	                       	           	
Events:
Highest Point:          	     	                       	8.0 hPa               	     	                       	           	33186 m
Tropopauses:            	     	                       	1.: 253.0 hPa         	     	                       	           	2.: 94.5 hPa 	     	            	
Max Winds:              	     	                       	                      	     	                       	           	             	     	            	
Remarks:

Profile Data:
Time                    	P    	T                      	Hu                    	Ws   	Wd                     	Long.      	Lat.         	Alt  	Geopot      	MRI     	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa]	[°C]                   	[%]                   	[m/s]	[°]                    	[°]        	[°]          	[m]  	[m]         	        	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	925.4	15.5                   	59                    	2.4  	274                    	-117.013687	46.730360    	787  	787         	374.983 	251.424	7.5  	16.7          	0.0  	46.7     	360     	1    	1.117059
1                       	924.4	15.3                   	59                    	2.4  	273                    	-117.013624	46.730346    	796  	796         	376.328 	251.340	7.3  	16.5          	9.1  	62.3     	103     	11   	1.116701
2                       	923.4	15.1                   	59                    	2.3  	272                    	-117.013560	46.730333    	805  	805         	377.673 	251.257	7.0  	16.3          	9.1  	61.6     	105     	21   	1.116343
3                       	922.4	14.8                   	58                    	2.3  	272                    	-117.013497	46.730319    	814  	814         	379.019 	251.174	6.8  	16.0          	9.1  	61.3     	106     	32   	1.115987
4                       	921.4	14.6                   	58                    	2.3  	271                    	-117.013433	46.730305    	823  	823         	380.365 	251.091	6.6  	15.8          	9.1  	61.2     	106     	42   	1.115631
5                       	920.4	14.4                   	58                    	2.2  	270                    	-117.013370	46.730292    	833  	833         	381.711 	251.008	6.3  	15.5          	9.1  	61.1     	106     	52   	1.115276
6                       	919.5	14.2                   	58                    	2.2  	269                    	-117.013306	46.730278    	842  	842         	383.057 	250.926	6.1  	15.3          	9.1  	61.1     	107     	63   	1.114921
7                       	918.5	14.0                   	58                    	2.2  	268                    	-117.013243	46.730265    	851  	851         	384.405 	250.845	5.8  	15.1          	9.1  	61.0     	107     	73   	1.114563
8                       	917.5	13.8                   	58                    	2.2  	267                    	-117.013179	46.730251    	860  	860         	385.762 	250.773	5.7  	14.8          	9.1  	61.0     	107     	84   	1.114206
9                       	916.5	13.5                   	58                    	2.1  	266                    	-117.013116	46.730237    	869  	869         	387.119 	250.702	5.5  	14.6          	9.1  	61.0     	107     	94   	1.113850
10                      	915.5	13.3                   	58                    	2.1  	265                    	-117.013052	46.730224    	878  	878         	388.477 	250.631	5.3  	14.4          	9.1  	61.0     	107     	105  	1.113494
11                      	914.5	13.1                   	58                    	2.1  	263                    	-117.012989	46.730210    	887  	887         	389.835 	250.560	5.1  	14.1          	9.1  	61.0     	107     	115  	1.113139
12                      	913.5	12.9                   	58                    	2.0  	262                    	-117.012925	46.730197    	896  	896         	391.209 	250.489	4.9  	13.9          	9.1  	61.0     	107     	125  	1.112785
