Flight,Number,Date,Time
[site + #],[integer],[yyyy-mm-dd],[UTC hh:mm]
T,1,2020-12-13,16:00
T,2,2020-12-13,17:00
T,3,2020-12-13,18:00
T,4,2020-12-13,19:00
T,5,2020-12-13,20:00
T,6,2020-12-13,21:00
T,7,2020-12-13,22:00
T,8,2020-12-13,23:00
T,9,2020-12-14,0:00
T,10,2020-12-14,1:00
T,11,2020-12-14,2:00
T,12,2020-12-14,3:00
T,13,2020-12-14,4:00
T,14,2020-12-14,5:00
T,15,2020-12-14,6:00
T,16,2020-12-14,7:00
T,17,2020-12-14,8:00
T,18,2020-12-14,9:00
T,19,2020-12-14,10:00
T,20,2020-12-14,11:00
T,21,2020-12-14,12:00
T,22,2020-12-14,13:00
T,23,2020-12-14,14:00
T,24,2020-12-14,15:00
T,25,2020-12-14,15:30
T,26,2020-12-14,16:30
T,27,2020-12-14,17:30
T,28,2020-12-14,18:30
T,29,2020-12-14,19:30
T,30,2020-12-14,20:30
T,31,2020-12-14,21:30
T,32,2020-12-14,22:30
T,33,2020-12-14,23:30
T,34,2020-12-15,0:30
T,35,2020-12-15,1:30
T,36,2020-12-15,2:30
T,37,2020-12-15,3:30
T,38,2020-12-15,4:30
T,39,2020-12-15,5:30
T,40,2020-12-15,6:30
T,41,2020-12-15,7:30
T,42,2020-12-15,8:30
T,43,2020-12-15,9:30
T,44,2020-12-15,10:30
T,45,2020-12-15,11:30
T,46,2020-12-15,12:30
T,47,2020-12-15,13:30
T,48,2020-12-15,14:30
T,49,2020-12-15,15:30
T,50,2020-12-15,16:30
