Flight Information:
Launch Date:            	                       	Wednesday, 10 June 2020	   	                   	Launch Time: 	           	17:05:54    	     	End of Ascent:	     	           	01:25:06
Station name:           	                       	                       	   	                   	Serialnumber:	           	17045707
Ground values:
Pressure:               	                       	1025.5 hPa             	   	                   	Temperature: 	           	13.9 °C     	     	Humidity:     	     	           	77 %
Wind Direction:         	                       	315 °                  	   	                   	Wind Speed:  	           	0 m/s       	     	Cloud group:  	     	           	9////
Position:
Longitude:              	                       	-113.985 °             	   	                   	Latitude:    	           	46.860 °    	     	Altitude:     	     	           	978 m
Staff:
Company:                	                       	
Operator:               	                       	                       	   	                   	
Events:
Highest Point:          	                       	16.3 hPa               	   	                   	28998 m
Tropopauses:            	                       	1.: 225.0 hPa          	   	                   	             	           	
Max Winds:              	                       	                       	   	                   	             	           	
Remarks:

Profile Data:
Time                    	P                      	T                      	Hu 	Ws                 	Wd           	Long.      	Lat.        	Alt  	Geopot        	Dewp.	Virt. Temp 	Rs      	D
[sec]                   	[hPa]                  	[°C]                   	[%]	[m/s]              	[°]          	[°]        	[°]         	[m]  	[m]           	[°C] 	[°C]       	[m/s]   	[kg/m3]
0                       	1025.5                 	13.9                   	77 	0.4                	315          	-113.984986	46.859673   	978  	978           	9.9  	15.2       	0.0     	1.244790
1                       	1024.8                 	13.8                   	76 	0.4                	310          	-113.984971	46.859683   	984  	984           	9.6  	15.1       	5.7     	1.244267
2                       	1024.1                 	13.8                   	75 	0.4                	305          	-113.984957	46.859693   	989  	989           	9.3  	15.0       	5.7     	1.243743
3                       	1023.4                 	13.7                   	73 	0.5                	299          	-113.984943	46.859703   	995  	995           	9.0  	14.9       	5.7     	1.243220
4                       	1022.7                 	13.6                   	72 	0.5                	293          	-113.984929	46.859713   	1001 	1001          	8.7  	14.8       	5.7     	1.242698
5                       	1022.1                 	13.5                   	71 	0.5                	286          	-113.984915	46.859723   	1006 	1006          	8.4  	14.7       	5.7     	1.242175
6                       	1021.4                 	13.5                   	70 	0.5                	280          	-113.984901	46.859733   	1012 	1012          	8.1  	14.6       	5.7     	1.241653
7                       	1020.7                 	13.4                   	69 	0.5                	273          	-113.984886	46.859743   	1018 	1018          	7.8  	14.5       	5.7     	1.241071
8                       	1020.0                 	13.4                   	69 	0.6                	267          	-113.984872	46.859753   	1023 	1023          	7.7  	14.5       	5.7     	1.240458
9                       	1019.3                 	13.3                   	68 	0.6                	261          	-113.984858	46.859763   	1029 	1029          	7.6  	14.4       	5.7     	1.239845
10                      	1018.6                 	13.3                   	68 	0.6                	256          	-113.984844	46.859773   	1035 	1035          	7.6  	14.4       	5.7     	1.239232
11                      	1017.9                 	13.2                   	68 	0.6                	251          	-113.984830	46.859783   	1040 	1040          	7.5  	14.3       	5.7     	1.238620
12                      	1017.3                 	13.2                   	68 	0.6                	247          	-113.984816	46.859794   	1046 	1046          	7.4  	14.3       	5.7     	1.238008
13                      	1016.6                 	13.1                   	68 	0.7                	243          	-113.984801	46.859804   	1052 	1052          	7.3  	14.2       	5.7     	1.237396
14                      	1015.9                 	13.1                   	68 	0.7                	239          	-113.984787	46.859814   	1057 	1057          	7.3  	14.1       	5.7     	1.236785
15                      	1015.2                 	13.0                   	68 	0.7                	236          	-113.984773	46.859824   	1063 	1063          	7.2  	14.1       	5.7     	1.236175
16                      	1014.5                 	12.9                   	68 	0.7                	233          	-113.984760	46.859830   	1069 	1069          	7.1  	14.0       	5.7     	1.235564
17                      	1013.8                 	12.9                   	68 	0.7                	231          	-113.984748	46.859834   	1074 	1074          	7.1  	14.0       	5.7     	1.234954
18                      	1013.2                 	12.8                   	67 	0.8                	228          	-113.984736	46.859837   	1080 	1080          	7.0  	13.9       	5.6     	1.234345
19                      	1012.5                 	12.8                   	67 	0.8                	226          	-113.984724	46.859841   	1085 	1085          	6.9  	13.9       	5.1     	1.233817
20                      	1011.9                 	12.8                   	67 	0.8                	224          	-113.984712	46.859845   	1090 	1090          	6.9  	13.8       	5.1     	1.233232
21                      	1011.3                 	12.7                   	67 	0.8                	223          	-113.984699	46.859848   	1095 	1095          	6.8  	13.8       	5.1     	1.232618
22                      	1010.7                 	12.7                   	67 	0.8                	221          	-113.984687	46.859852   	1100 	1100          	6.8  	13.8       	5.1     	1.232005
23                      	1010.1                 	12.7                   	67 	0.9                	220          	-113.984675	46.859856   	1106 	1105          	6.8  	13.7       	5.1     	1.231392
24                      	1009.5                 	12.6                   	68 	0.9                	219          	-113.984663	46.859859   	1111 	1111          	6.8  	13.7       	5.1     	1.230779
25                      	1008.9                 	12.6                   	68 	0.9                	218          	-113.984651	46.859863   	1116 	1116          	6.8  	13.7       	5.1     	1.230166
26                      	1008.3                 	12.6                   	68 	0.9                	216          	-113.984639	46.859866   	1121 	1121          	6.8  	13.6       	5.1     	1.229553
27                      	1007.6                 	12.5                   	68 	0.9                	216          	-113.984626	46.859870   	1126 	1126          	6.7  	13.6       	5.1     	1.228941
28                      	1007.0                 	12.5                   	68 	1.0                	215          	-113.984614	46.859874   	1131 	1131          	6.7  	13.6       	5.1     	1.228329
29                      	1006.4                 	12.5                   	68 	1.0                	214          	-113.984602	46.859877   	1136 	1136          	6.7  	13.5       	5.1     	1.227717
30                      	1005.8                 	12.4                   	68 	1.0                	213          	-113.984590	46.859881   	1141 	1141          	6.7  	13.5       	5.1     	1.227105
31                      	1005.2                 	12.4                   	68 	1.0                	215          	-113.984578	46.859885   	1146 	1146          	6.7  	13.5       	5.1     	1.226494
32                      	1004.6                 	12.4                   	68 	1.0                	216          	-113.984566	46.859888   	1151 	1151          	6.6  	13.4       	5.1     	1.225883
33                      	1004.0                 	12.3                   	68 	1.0                	218          	-113.984554	46.859892   	1156 	1156          	6.6  	13.4       	5.1     	1.225285
34                      	1003.4                 	12.3                   	68 	1.0                	219          	-113.984541	46.859896   	1162 	1162          	6.6  	13.4       	5.1     	1.224735
35                      	1002.8                 	12.3                   	68 	1.0                	221          	-113.984529	46.859899   	1167 	1167          	6.5  	13.3       	5.1     	1.224186
36                      	1002.2                 	12.2                   	68 	1.0                	223          	-113.984517	46.859903   	1172 	1172          	6.5  	13.3       	5.1     	1.223636
37                      	1001.5                 	12.2                   	68 	1.0                	225          	-113.984505	46.859907   	1177 	1177          	6.4  	13.2       	5.1     	1.223086
38                      	1000.9                 	12.1                   	68 	1.0                	227          	-113.984493	46.859910   	1182 	1182          	6.4  	13.2       	5.1     	1.222537
39                      	1000.3                 	12.1                   	68 	1.0                	228          	-113.984481	46.859914   	1187 	1187          	6.4  	13.1       	5.1     	1.221988
40                      	999.7                  	12.0                   	68 	1.0                	230          	-113.984468	46.859918   	1192 	1192          	6.3  	13.1       	5.1     	1.221439
41                      	999.1                  	12.0                   	68 	1.0                	232          	-113.984456	46.859921   	1197 	1197          	6.3  	13.0       	5.1     	1.220890
42                      	998.5                  	11.9                   	68 	1.0                	234          	-113.984444	46.859925   	1202 	1202          	6.2  	13.0       	5.1     	1.220342
43                      	997.8                  	11.9                   	68 	1.0                	236          	-113.984432	46.859928   	1207 	1207          	6.2  	12.9       	5.1     	1.219734
44                      	997.2                  	11.9                   	68 	1.0                	238          	-113.984420	46.859932   	1213 	1212          	6.1  	12.9       	5.1     	1.219126
45                      	996.5                  	11.8                   	68 	1.0                	240          	-113.984408	46.859936   	1218 	1218          	6.1  	12.8       	5.1     	1.218519
46                      	995.9                  	11.8                   	68 	1.0                	242          	-113.984391	46.859939   	1223 	1223          	6.1  	12.8       	5.7     	1.217912
47                      	995.2                  	11.7                   	68 	1.0                	244          	-113.984370	46.859943   	1229 	1229          	6.0  	12.7       	6.0     	1.217290
48                      	994.6                  	11.7                   	68 	1.0                	246          	-113.984350	46.859946   	1235 	1235          	6.0  	12.7       	6.0     	1.216664
49                      	993.9                  	11.6                   	68 	1.0                	248          	-113.984330	46.859950   	1241 	1241          	5.9  	12.6       	6.0     	1.215960
50                      	993.1                  	11.6                   	68 	1.0                	249          	-113.984309	46.859953   	1247 	1247          	5.9  	12.6       	6.0     	1.215256
51                      	992.4                  	11.6                   	68 	1.0                	251          	-113.984289	46.859957   	1254 	1253          	5.8  	12.6       	6.0     	1.214553
52                      	991.7                  	11.5                   	68 	1.0                	253          	-113.984268	46.859960   	1260 	1259          	5.8  	12.5       	6.0     	1.213850
53                      	991.0                  	11.5                   	68 	1.0                	255          	-113.984248	46.859963   	1266 	1265          	5.7  	12.5       	6.0     	1.213147
54                      	990.3                  	11.4                   	68 	1.0                	257          	-113.984228	46.859967   	1272 	1272          	5.7  	12.4       	6.0     	1.212445
55                      	989.6                  	11.4                   	68 	1.0                	259          	-113.984207	46.859970   	1278 	1278          	5.7  	12.4       	6.0     	1.211743
56                      	988.8                  	11.4                   	68 	1.0                	260          	-113.984187	46.859974   	1284 	1284          	5.6  	12.3       	6.0     	1.211041
57                      	988.1                  	11.3                   	68 	1.0                	262          	-113.984167	46.859977   	1290 	1290          	5.6  	12.3       	6.0     	1.210339
58                      	987.4                  	11.3                   	68 	1.0                	264          	-113.984146	46.859981   	1296 	1296          	5.5  	12.3       	6.0     	1.209638
59                      	986.7                  	11.2                   	68 	1.0                	265          	-113.984126	46.859984   	1302 	1302          	5.5  	12.2       	6.0     	1.208937
60                      	986.0                  	11.2                   	68 	1.0                	267          	-113.984106	46.859988   	1308 	1308          	5.4  	12.2       	6.0     	1.208237
61                      	985.3                  	11.2                   	68 	1.1                	266          	-113.984085	46.859991   	1314 	1314          	5.4  	12.1       	6.0     	1.207536
62                      	984.6                  	11.1                   	68 	1.1                	266          	-113.984065	46.859995   	1320 	1320          	5.4  	12.1       	6.0     	1.206835
63                      	983.9                  	11.1                   	68 	1.2                	266          	-113.984045	46.859998   	1326 	1326          	5.3  	12.0       	6.0     	1.206135
