Alt,u,v,temp,bv2,lat,long
10842.000,3.176,1.350,-1.068,0.001,46.813,-116.813
10847.000,3.164,1.348,-1.059,0.000,46.813,-116.813
10852.000,3.318,1.131,-1.049,0.000,46.813,-116.813
10856.000,3.387,1.189,-1.040,0.001,46.813,-116.813
10861.000,3.375,1.188,-0.930,0.001,46.813,-116.813
10865.000,3.527,0.966,-0.921,0.000,46.813,-116.812
10870.000,3.516,0.965,-0.912,0.000,46.813,-116.812
10874.000,3.505,0.964,-0.902,0.000,46.813,-116.812
10879.000,3.653,0.739,-0.893,0.001,46.813,-116.812
10884.000,3.642,0.738,-0.784,0.001,46.813,-116.812
10888.000,3.631,0.737,-0.774,0.000,46.814,-116.812
10893.000,3.859,0.566,-0.765,0.000,46.814,-116.811
10897.000,3.848,0.565,-0.756,0.000,46.814,-116.811
10902.000,3.838,0.563,-0.747,0.000,46.814,-116.811
10907.000,3.980,0.332,-0.738,0.001,46.814,-116.811
10911.000,3.969,0.330,-0.629,0.001,46.814,-116.811
10916.000,3.959,0.329,-0.619,0.000,46.814,-116.811
10920.000,4.033,0.381,-0.611,0.000,46.814,-116.810
10925.000,4.172,0.146,-0.602,0.000,46.814,-116.810
10929.000,4.077,0.091,-0.593,0.000,46.814,-116.810
10934.000,4.067,0.089,-0.584,0.001,46.814,-116.810
10938.000,4.057,0.087,-0.475,0.001,46.814,-116.810
10943.000,4.106,-0.202,-0.466,0.000,46.814,-116.809
10947.000,4.096,-0.204,-0.458,0.000,46.814,-116.809
10952.000,4.001,-0.258,-0.449,0.000,46.815,-116.809
10956.000,3.991,-0.261,-0.440,0.001,46.815,-116.809
10961.000,4.033,-0.548,-0.332,0.001,46.815,-116.809
10965.000,4.024,-0.550,-0.323,0.000,46.815,-116.809
10970.000,4.015,-0.553,-0.314,0.000,46.815,-116.808
10974.000,3.919,-0.606,-0.306,0.001,46.815,-116.808
10979.000,3.909,-0.609,-0.198,0.001,46.815,-116.808
10983.000,4.032,-0.845,-0.189,0.000,46.815,-116.808
10988.000,3.935,-0.897,-0.181,0.001,46.815,-116.808
10992.000,3.926,-0.900,-0.073,0.001,46.815,-116.808
10997.000,3.829,-0.951,-0.064,0.001,46.815,-116.807
11001.000,3.946,-1.188,0.044,0.001,46.815,-116.807
11006.000,3.937,-1.191,0.052,0.000,46.815,-116.807
11010.000,3.839,-1.241,0.060,0.001,46.815,-116.807
11015.000,3.829,-1.244,0.168,0.001,46.815,-116.807
11019.000,3.820,-1.248,0.176,0.001,46.816,-116.807
11024.000,3.810,-1.251,0.284,0.001,46.816,-116.806
11028.000,3.675,-1.023,0.292,0.000,46.816,-116.806
11033.000,3.665,-1.026,0.299,0.000,46.816,-116.806
11037.000,3.655,-1.030,0.307,0.001,46.816,-116.806
11041.000,3.646,-1.034,0.415,0.001,46.816,-116.806
11046.000,3.506,-0.808,0.422,0.000,46.816,-116.806
11050.000,3.497,-0.812,0.430,0.000,46.816,-116.805
11055.000,3.487,-0.816,0.437,0.000,46.816,-116.805
11060.000,3.477,-0.820,0.444,0.000,46.816,-116.805
11065.000,3.334,-0.597,0.452,0.001,46.816,-116.805
11069.000,3.324,-0.601,0.559,0.001,46.816,-116.805
11074.000,3.315,-0.605,0.566,0.000,46.816,-116.804
11079.000,3.305,-0.610,0.573,0.000,46.817,-116.804
11084.000,3.158,-0.390,0.580,0.000,46.817,-116.804
11089.000,3.149,-0.395,0.587,0.001,46.817,-116.804
11093.000,3.140,-0.399,0.694,0.001,46.817,-116.804
11098.000,3.131,-0.404,0.700,0.000,46.817,-116.804
11103.000,3.064,-0.133,0.607,-0.000,46.817,-116.803
11108.000,3.055,-0.138,0.614,0.000,46.817,-116.803
11113.000,3.130,-0.089,0.620,0.000,46.817,-116.803
11117.000,2.974,0.128,0.627,0.000,46.817,-116.803
11122.000,3.048,0.179,0.633,0.000,46.817,-116.803
11127.000,3.123,0.229,0.640,0.000,46.817,-116.803
11132.000,3.043,0.503,0.646,0.000,46.817,-116.802
11137.000,3.117,0.555,0.652,0.000,46.818,-116.802
11141.000,3.190,0.606,0.658,0.000,46.818,-116.802
11146.000,3.103,0.883,0.664,0.000,46.818,-116.802
11151.000,3.175,0.935,0.670,0.000,46.818,-116.802
11156.000,3.248,0.988,0.676,0.000,46.818,-116.802
11161.000,3.153,1.267,0.682,0.000,46.818,-116.801
