Alt,u,v,temp,bv2
12361.000,1.719,0.268,0.667,-0.000
12366.000,1.876,0.149,0.576,-0.000
12370.000,1.858,0.143,0.586,0.000
12375.000,2.013,0.020,0.596,0.000
12379.000,1.994,0.014,0.606,0.000
12384.000,2.065,0.054,0.616,0.000
12388.000,2.130,-0.119,0.626,0.000
12393.000,2.202,-0.082,0.636,-0.000
12398.000,2.183,-0.088,0.545,-0.000
12402.000,2.255,-0.050,0.555,0.000
12407.000,2.237,-0.057,0.565,0.000
12411.000,2.308,-0.019,0.574,0.000
12416.000,2.290,-0.025,0.584,0.000
12420.000,2.355,-0.205,0.594,0.000
12425.000,2.428,-0.168,0.603,0.000
12429.000,2.410,-0.175,0.613,0.000
12434.000,2.483,-0.139,0.622,0.000
12438.000,2.466,-0.145,0.632,-0.000
12443.000,2.539,-0.109,0.541,-0.000
12448.000,2.522,-0.115,0.550,0.000
12452.000,2.595,-0.079,0.560,0.000
12457.000,2.660,-0.266,0.569,0.000
12461.000,2.734,-0.232,0.578,0.000
12466.000,2.717,-0.238,0.587,0.000
12470.000,2.791,-0.203,0.596,0.000
12475.000,2.774,-0.209,0.605,0.000
12480.000,2.848,-0.174,0.614,0.000
12484.000,3.004,-0.328,0.623,0.000
12489.000,3.078,-0.294,0.632,0.000
12494.000,3.153,-0.261,0.641,0.000
12498.000,3.135,-0.267,0.650,-0.000
12503.000,3.290,-0.428,0.559,-0.000
12507.000,3.365,-0.396,0.568,0.000
12512.000,3.440,-0.364,0.576,0.000
12517.000,3.515,-0.332,0.585,0.000
12521.000,3.669,-0.503,0.594,0.000
12526.000,3.651,-0.508,0.603,0.000
12531.000,3.726,-0.478,0.611,0.000
12535.000,3.801,-0.447,0.620,0.000
12540.000,3.876,-0.416,0.628,0.000
12545.000,4.030,-0.596,0.636,0.000
12549.000,4.106,-0.567,0.645,0.000
12554.000,4.181,-0.538,0.653,0.000
12558.000,4.162,-0.543,0.661,0.000
12563.000,4.314,-0.731,0.670,0.000
12568.000,4.390,-0.703,0.678,0.000
12572.000,4.371,-0.707,0.686,-0.000
12577.000,4.447,-0.679,0.594,-0.000
12582.000,4.502,-0.905,0.602,0.000
12586.000,4.578,-0.879,0.610,0.000
12591.000,4.558,-0.883,0.618,0.000
12595.000,4.634,-0.857,0.626,0.000
12600.000,4.686,-1.088,0.633,0.000
12605.000,4.762,-1.063,0.641,0.000
12609.000,4.838,-1.038,0.649,0.000
12614.000,4.887,-1.273,0.656,0.000
12619.000,4.963,-1.250,0.664,0.000
12623.000,4.943,-1.254,0.672,0.000
12628.000,5.019,-1.231,0.679,0.000
12632.000,5.065,-1.470,0.687,0.000
12637.000,5.141,-1.449,0.694,0.001
12642.000,5.121,-1.453,0.801,0.001
12646.000,5.197,-1.431,0.809,0.000
12651.000,5.336,-1.651,0.816,0.000
12655.000,5.316,-1.655,0.823,0.000
12660.000,5.198,-1.684,0.830,0.000
12665.000,5.178,-1.688,0.837,0.000
12669.000,5.118,-1.956,0.844,0.000
12674.000,5.000,-1.982,0.852,0.000
12679.000,4.979,-1.987,0.859,0.000
12683.000,4.913,-2.250,0.866,0.000
12688.000,4.794,-2.275,0.872,0.000
12692.000,4.774,-2.279,0.879,0.000
12697.000,4.703,-2.538,0.886,0.001
12702.000,4.583,-2.561,0.993,0.001
12706.000,4.562,-2.565,1.000,0.000
12711.000,4.486,-2.819,1.007,0.000
12715.000,4.366,-2.841,1.013,0.000
12720.000,4.345,-2.844,1.020,0.000
12725.000,4.263,-3.094,1.027,0.000
12729.000,4.242,-3.098,1.034,0.000
12734.000,4.156,-3.345,1.040,0.001
12738.000,4.035,-3.362,1.147,0.001
12743.000,4.013,-3.365,1.154,0.000
12747.000,3.922,-3.608,1.160,0.000
12752.000,3.901,-3.611,1.167,0.000
12756.000,3.780,-3.627,1.173,0.000
12760.000,3.729,-3.407,1.180,0.000
12765.000,3.707,-3.410,1.187,0.000
12769.000,3.685,-3.413,1.193,0.001
12774.000,3.565,-3.431,1.300,0.001
12778.000,3.543,-3.434,1.306,0.000
12782.000,3.522,-3.437,1.313,0.000
12787.000,3.401,-3.455,1.319,0.000
12791.000,3.380,-3.458,1.325,0.000
12795.000,3.359,-3.461,1.331,0.000
12800.000,3.338,-3.465,1.338,0.000
12804.000,3.218,-3.482,1.344,0.000
12809.000,3.197,-3.485,1.350,0.000
12813.000,3.176,-3.489,1.357,0.000
12817.000,3.155,-3.492,1.363,0.000
12822.000,3.035,-3.509,1.369,0.000
12826.000,3.014,-3.513,1.375,0.001
12831.000,2.994,-3.516,1.481,0.001
12835.000,2.874,-3.533,1.488,0.000
12839.000,2.853,-3.536,1.494,0.000
12844.000,2.734,-3.554,1.500,0.000
12848.000,2.714,-3.557,1.506,0.000
12853.000,2.594,-3.574,1.512,0.000
12857.000,2.574,-3.577,1.517,0.000
12861.000,2.455,-3.594,1.523,0.000
12866.000,2.462,-3.807,1.529,0.000
12870.000,2.343,-3.822,1.535,0.000
12875.000,2.224,-3.838,1.541,0.000
12879.000,2.205,-3.841,1.546,0.000
12884.000,2.086,-3.856,1.552,0.000
12889.000,2.066,-3.860,1.558,0.000
12893.000,1.947,-3.875,1.563,0.000
12898.000,1.928,-3.878,1.569,0.000
12902.000,1.832,-4.095,1.574,0.000
12907.000,1.813,-4.098,1.580,0.000
12911.000,1.695,-4.112,1.585,0.001
12916.000,1.576,-4.125,1.691,0.001
12920.000,1.557,-4.129,1.696,0.000
12925.000,1.439,-4.142,1.702,0.000
12929.000,1.519,-4.135,1.707,0.000
12934.000,1.478,-3.940,1.712,0.000
12938.000,1.459,-3.943,1.717,0.000
12943.000,1.441,-3.946,1.722,0.000
12947.000,1.396,-3.752,1.727,0.000
12952.000,1.377,-3.755,1.732,0.000
12956.000,1.329,-3.560,1.737,0.000
12961.000,1.409,-3.547,1.742,0.000
12965.000,1.390,-3.550,1.747,0.000
12970.000,1.339,-3.354,1.751,0.000
12974.000,1.320,-3.356,1.756,0.000
12979.000,1.301,-3.358,1.761,0.000
12983.000,1.246,-3.163,1.765,0.000
12988.000,1.325,-3.146,1.770,0.000
12992.000,1.266,-2.949,1.774,0.000
12997.000,1.247,-2.951,1.779,0.000
13001.000,1.228,-2.952,1.783,0.000
13006.000,1.166,-2.756,1.788,0.001
13010.000,1.244,-2.735,1.892,0.001
13015.000,1.225,-2.736,1.896,0.000
13019.000,1.255,-2.515,1.900,0.000
13024.000,1.281,-2.290,1.905,0.000
13028.000,1.262,-2.291,1.909,0.000
13033.000,1.284,-2.064,1.913,0.000
13038.000,1.301,-1.835,1.917,0.000
13042.000,1.377,-1.807,1.921,0.000
13047.000,1.389,-1.574,1.925,0.000
13051.000,1.396,-1.338,1.929,0.000
13056.000,1.471,-1.307,1.933,0.000
13060.000,1.473,-1.068,1.936,0.000
13065.000,1.547,-1.034,1.940,0.000
13069.000,1.543,-0.792,1.944,0.000
13074.000,1.442,-0.585,1.948,0.000
13078.000,1.515,-0.548,1.951,0.000
13083.000,1.501,-0.302,1.955,-0.000
13087.000,1.573,-0.264,1.859,-0.000
13092.000,1.644,0.026,1.862,0.000
13096.000,1.715,0.066,1.866,0.000
13101.000,1.689,0.320,1.870,0.000
