Alt,u,v,temp,bv2
27273.000,-0.917,-2.476,0.308,-0.053
27279.000,-0.808,-2.466,0.298,-0.055
27285.000,-0.599,-2.441,0.288,-0.057
27291.000,-0.490,-2.431,0.278,-0.057
27297.000,-0.416,-2.151,0.268,-0.060
27303.000,-0.306,-2.142,0.258,-0.063
27309.000,-0.197,-2.133,0.248,-0.066
27315.000,-0.018,-1.849,0.238,0.373
27320.000,0.091,-1.843,0.328,0.270
27326.000,0.200,-1.836,0.318,-0.051
27332.000,0.284,-1.570,0.307,-0.053
27338.000,0.393,-1.565,0.297,-0.056
27344.000,0.482,-1.305,0.287,-0.058
27350.000,0.591,-1.302,0.277,-0.060
27356.000,0.684,-1.046,0.267,-0.061
27362.000,0.792,-1.045,0.257,-0.064
27368.000,0.890,-0.795,0.246,-0.068
27374.000,0.998,-0.795,0.236,-0.071
27380.000,1.106,-0.796,0.226,-0.074
27386.000,1.207,-0.553,0.216,-0.078
27392.000,1.315,-0.555,0.205,-0.080
27398.000,1.420,-0.317,0.195,-0.084
27404.000,1.527,-0.322,0.185,-0.090
27410.000,1.635,-0.089,0.175,-0.096
27416.000,1.742,-0.095,0.165,-0.103
27422.000,1.854,0.132,0.154,-0.111
27428.000,1.760,0.131,0.144,-0.118
27434.000,1.666,0.130,0.133,-0.127
27440.000,1.571,0.128,0.123,-0.140
27446.000,1.477,0.127,0.112,-0.152
27452.000,1.382,0.125,0.102,-0.167
27458.000,1.286,0.124,0.091,-0.186
27464.000,1.191,0.122,0.081,-0.209
27470.000,1.095,0.121,0.071,-0.241
27476.000,0.999,0.119,0.060,1.074
27482.000,0.904,0.117,0.150,0.431
27488.000,0.808,0.115,0.139,-0.124
27494.000,0.712,0.113,0.129,-0.133
27500.000,0.627,0.368,0.118,-0.143
27506.000,0.531,0.368,0.108,-0.157
27512.000,0.435,0.368,0.097,-0.176
27518.000,0.339,0.368,0.087,-0.197
27524.000,0.243,0.368,0.076,-0.225
27530.000,0.147,0.369,0.066,-0.260
27536.000,0.051,0.370,0.055,-0.306
27542.000,-0.045,0.370,0.045,-0.377
27548.000,-0.140,0.371,0.035,-0.494
27554.000,-0.136,0.366,0.024,-0.710
27560.000,-0.132,0.362,0.014,-1.260
27566.000,-0.127,0.358,0.003,-5.490
27572.000,-0.123,0.354,-0.007,2.339
27578.000,-0.218,0.356,-0.018,1.069
27583.000,-0.214,0.352,-0.028,0.673
27589.000,-0.209,0.348,-0.039,0.440
27595.000,-0.188,0.617,-0.049,0.346
27601.000,-0.183,0.614,-0.059,0.286
27607.000,-0.278,0.618,-0.070,0.244
27613.000,-0.273,0.616,-0.080,0.213
27619.000,-0.268,0.614,-0.090,0.187
27625.000,-0.263,0.612,-0.101,0.168
27631.000,-0.258,0.610,-0.111,0.152
27637.000,-0.352,0.616,-0.121,0.140
27643.000,-0.347,0.614,-0.132,0.128
27649.000,-0.342,0.613,-0.142,0.119
27655.000,-0.337,0.613,-0.152,0.122
27660.000,-0.332,0.612,-0.162,0.114
27666.000,-0.405,0.896,-0.172,-0.378
27672.000,-0.400,0.896,-0.082,-0.793
27678.000,-0.396,0.896,-0.092,0.178
27684.000,-0.490,0.905,-0.102,0.162
27690.000,-0.485,0.906,-0.113,0.147
27696.000,-0.480,0.907,-0.123,0.133
27702.000,-0.575,0.917,-0.133,0.124
27708.000,-0.543,1.198,-0.143,0.114
27714.000,-0.538,1.201,-0.153,0.106
27720.000,-0.633,1.214,-0.162,0.101
27726.000,-0.628,1.217,-0.172,0.094
27732.000,-0.623,1.221,-0.182,0.098
27737.000,-0.718,1.235,-0.192,0.093
27743.000,-0.713,1.239,-0.202,0.079
27749.000,-0.708,1.244,-0.212,0.075
27755.000,-0.671,1.532,-0.221,0.072
27761.000,-0.765,1.549,-0.231,0.078
27766.000,-0.760,1.554,-0.241,0.075
27772.000,-0.756,1.559,-0.250,-0.264
27778.000,-0.850,1.577,-0.160,-0.413
27784.000,-0.845,1.583,-0.170,0.093
27790.000,-0.803,1.874,-0.179,0.097
27795.000,-0.798,1.881,-0.189,0.093
27801.000,-0.793,1.887,-0.198,0.080
27807.000,-0.789,1.894,-0.208,0.075
27813.000,-0.741,2.186,-0.217,-0.304
27819.000,-0.737,2.193,-0.127,-0.450
27824.000,-0.732,2.200,-0.136,0.126
27830.000,-0.727,2.207,-0.146,0.106
27836.000,-0.675,2.499,-0.155,0.101
27842.000,-0.670,2.506,-0.165,0.094
27848.000,-0.665,2.513,-0.174,-0.517
27853.000,-0.660,2.520,-0.083,-1.078
27859.000,-0.602,2.810,-0.093,0.165
27865.000,-0.597,2.818,-0.102,0.149
27871.000,-0.592,2.825,-0.111,0.138
27877.000,-0.529,3.114,-0.121,0.128
27883.000,-0.523,3.121,-0.130,-0.692
27888.000,-0.517,3.128,-0.039,-2.288
27894.000,-0.511,3.136,-0.049,0.311
27900.000,-0.504,3.142,-0.058,0.260
27906.000,-0.596,3.170,-0.067,0.223
27912.000,-0.687,3.197,-0.076,-1.184
27917.000,-0.680,3.204,0.014,6.234
27923.000,-0.771,3.231,0.005,-2.758
27929.000,-0.862,3.258,-0.004,4.009
27935.000,-0.855,3.265,-0.013,1.163
