Alt,u,v,temp,bv2
15165.000,1.544,-4.218,1.657,0.068
15170.000,1.387,-4.340,1.664,0.010
15174.000,1.211,-4.268,1.671,0.010
15179.000,1.135,-4.333,1.678,0.010
15183.000,0.960,-4.267,1.685,0.010
15188.000,0.886,-4.332,1.692,0.009
15193.000,0.712,-4.272,1.699,0.010
15197.000,0.640,-4.339,1.706,0.010
15202.000,0.467,-4.285,1.713,0.008
15207.000,0.396,-4.353,1.720,0.009
15211.000,0.225,-4.305,1.727,0.009
15216.000,0.155,-4.375,1.733,0.008
15221.000,0.060,-4.265,1.740,0.008
15226.000,-0.008,-4.336,1.747,0.009
15230.000,-0.177,-4.298,1.753,0.009
15235.000,-0.345,-4.263,1.760,0.008
15240.000,-0.410,-4.337,1.766,0.008
15245.000,-0.576,-4.308,1.773,0.008
15250.000,-0.569,-4.311,1.779,0.008
15254.000,-0.733,-4.286,1.786,0.008
15259.000,-0.897,-4.265,1.792,0.008
15264.000,-0.958,-4.342,1.799,0.008
15269.000,-1.119,-4.326,1.805,0.009
15273.000,-1.214,-4.239,1.812,0.008
15278.000,-1.272,-4.318,1.818,0.007
15283.000,-1.431,-4.310,1.824,0.007
15288.000,-1.588,-4.307,1.831,0.008
15292.000,-1.683,-4.228,1.837,0.008
15297.000,-1.736,-4.310,1.843,0.007
15302.000,-1.891,-4.315,1.850,0.007
15307.000,-2.044,-4.323,1.856,0.007
15312.000,-2.138,-4.253,1.862,0.008
15316.000,-2.234,-4.185,1.869,0.008
15321.000,-2.384,-4.203,1.875,0.007
15326.000,-2.533,-4.224,1.881,0.006
15331.000,-2.628,-4.163,1.887,0.007
15335.000,-2.775,-4.191,1.893,0.008
15340.000,-2.919,-4.222,1.899,0.007
15345.000,-3.013,-4.168,1.905,-0.045
15350.000,-3.154,-4.205,1.811,-0.040
15354.000,-3.249,-4.155,1.816,0.008
15359.000,-3.387,-4.198,1.822,0.007
15364.000,-3.522,-4.243,1.828,0.007
15369.000,-3.655,-4.292,1.834,0.006
15374.000,-3.748,-4.251,1.840,0.007
15379.000,-3.877,-4.305,1.846,0.007
15384.000,-3.970,-4.268,1.852,-0.046
15389.000,-4.064,-4.232,1.757,-0.049
15394.000,-4.188,-4.293,1.763,0.007
15399.000,-4.281,-4.261,1.769,0.007
15404.000,-4.452,-4.105,1.774,0.007
15409.000,-4.548,-4.077,1.780,-0.049
15414.000,-4.645,-4.051,1.685,-0.051
15419.000,-4.741,-4.027,1.691,0.008
15423.000,-4.838,-4.004,1.696,0.008
15428.000,-4.953,-4.082,1.702,0.007
15433.000,-5.048,-4.063,1.707,-0.051
15438.000,-5.144,-4.046,1.613,-0.054
15443.000,-5.240,-4.031,1.618,0.007
15448.000,-5.444,-4.007,1.623,-0.053
15453.000,-5.540,-3.997,1.529,-0.057
15458.000,-5.636,-3.990,1.534,0.007
15463.000,-5.732,-3.983,1.539,-0.056
15468.000,-5.828,-3.979,1.445,-0.060
15473.000,-5.924,-3.976,1.450,0.008
15478.000,-6.019,-3.975,1.455,-0.060
15483.000,-6.115,-3.976,1.361,-0.064
15488.000,-6.215,-3.879,1.366,0.009
15492.000,-6.201,-3.877,1.371,-0.055
15497.000,-6.193,-3.775,1.276,-0.069
15502.000,-6.297,-3.680,1.281,0.008
15507.000,-6.290,-3.578,1.287,0.008
15512.000,-6.276,-3.576,1.292,-0.068
15517.000,-6.385,-3.482,1.197,-0.073
15522.000,-6.379,-3.380,1.202,-0.073
15527.000,-6.373,-3.278,1.107,-0.079
15532.000,-6.367,-3.175,1.113,0.009
15537.000,-6.473,-3.184,1.118,-0.111
15541.000,-6.468,-3.082,1.023,-0.121
15546.000,-6.463,-2.980,1.028,0.010
15551.000,-6.458,-2.877,1.033,-0.085
15556.000,-6.568,-2.889,0.939,-0.093
15561.000,-6.564,-2.787,0.944,0.011
15566.000,-6.559,-2.686,0.949,-0.092
15571.000,-6.554,-2.584,0.854,-0.102
15576.000,-6.536,-2.582,0.860,0.012
15581.000,-6.663,-2.498,0.865,0.015
15585.000,-6.659,-2.397,0.870,-0.085
15590.000,-6.530,-2.179,0.776,-0.112
15595.000,-6.523,-2.079,0.781,0.014
15600.000,-6.516,-1.978,0.787,-0.111
15605.000,-6.508,-1.877,0.692,-0.126
15610.000,-6.513,-1.677,0.698,0.016
15615.000,-6.505,-1.577,0.703,-0.124
15620.000,-6.496,-1.477,0.608,-0.143
15625.000,-6.488,-1.378,0.614,0.021
15629.000,-6.479,-1.278,0.619,-0.120
15634.000,-6.482,-1.079,0.525,-0.166
15639.000,-6.473,-0.980,0.530,0.021
15644.000,-6.463,-0.882,0.536,-0.162
15649.000,-6.454,-0.783,0.442,-0.197
15654.000,-6.279,-0.666,0.447,0.025
15659.000,-6.278,-0.468,0.453,-0.192
15664.000,-6.266,-0.371,0.359,-0.242
15669.000,-6.255,-0.273,0.364,0.031
15674.000,-6.243,-0.175,0.370,-0.234
15679.000,-6.241,0.021,0.276,-0.314
15684.000,-6.219,0.019,0.282,0.041
15689.000,-6.207,0.116,0.288,-0.301
15694.000,-6.195,0.212,0.193,-0.447
15699.000,-6.172,0.209,0.199,0.059
