Alt,u,v,temp,bv2
16550.000,-2.745,-0.109,1.146,-0.000
16555.000,-2.726,-0.105,1.154,0.000
16560.000,-2.834,-0.034,1.161,0.001
16565.000,-2.943,0.034,1.168,0.001
16570.000,-3.053,0.099,1.176,0.001
16575.000,-3.206,0.071,1.183,0.001
16581.000,-3.316,0.132,1.191,-0.000
16586.000,-3.428,0.189,1.098,-0.000
16591.000,-3.541,0.245,1.105,0.001
16596.000,-3.655,0.297,1.113,0.001
16601.000,-3.769,0.348,1.120,0.001
16606.000,-3.915,0.301,1.127,0.001
16612.000,-4.030,0.345,1.134,0.000
16617.000,-4.279,0.425,1.141,0.000
16622.000,-4.395,0.462,1.149,0.000
16627.000,-4.512,0.497,1.056,0.000
16632.000,-4.630,0.530,1.063,0.001
16637.000,-4.611,0.532,1.070,0.001
16642.000,-4.730,0.561,1.077,0.000
16648.000,-4.848,0.589,1.085,0.000
16653.000,-4.830,0.590,1.092,0.001
16658.000,-4.949,0.614,1.099,0.001
16663.000,-5.068,0.636,1.106,0.001
16668.000,-5.050,0.638,1.113,0.001
16673.000,-5.170,0.657,1.120,0.000
16679.000,-5.291,0.674,1.127,-0.000
16684.000,-5.412,0.688,1.034,0.000
16689.000,-5.394,0.689,1.041,0.001
16694.000,-5.515,0.700,1.047,0.001
16699.000,-5.637,0.710,1.054,0.000
16704.000,-5.614,0.810,1.061,0.000
16710.000,-5.738,0.816,1.068,0.001
16715.000,-5.862,0.820,1.075,0.001
16720.000,-5.844,0.821,1.082,0.001
16725.000,-5.968,0.822,1.088,0.001
16730.000,-6.092,0.821,1.095,0.000
16735.000,-6.077,0.920,1.102,-0.000
16741.000,-6.203,0.916,1.009,0.000
16746.000,-6.190,1.016,1.016,0.001
16751.000,-6.173,1.016,1.023,0.001
16756.000,-6.160,1.116,1.029,0.000
16761.000,-6.144,1.115,1.036,0.000
16766.000,-6.131,1.215,1.043,0.001
16772.000,-6.115,1.216,1.050,0.001
16777.000,-6.102,1.316,1.056,0.001
16782.000,-6.089,1.417,1.063,0.000
16787.000,-6.073,1.417,1.070,0.000
16792.000,-6.061,1.518,1.076,0.000
16797.000,-6.044,1.519,0.983,0.000
16803.000,-6.032,1.620,0.989,0.001
16808.000,-6.016,1.621,0.996,0.001
16813.000,-6.004,1.722,1.003,0.000
16818.000,-5.992,1.824,1.009,0.000
16823.000,-5.976,1.825,1.016,0.001
16828.000,-5.964,1.927,1.022,0.001
16834.000,-5.949,1.929,1.029,0.001
16839.000,-5.937,2.031,1.035,-0.000
16844.000,-5.761,2.138,0.941,-0.000
16849.000,-5.747,2.240,0.948,0.001
16854.000,-5.566,2.344,0.954,0.001
16860.000,-5.550,2.347,0.960,0.001
16865.000,-5.535,2.449,0.966,-0.000
16870.000,-5.348,2.551,0.872,-0.000
16875.000,-5.331,2.654,0.879,0.001
16880.000,-5.314,2.756,0.885,0.001
16886.000,-5.120,2.855,0.891,0.000
16891.000,-5.101,2.958,0.796,-0.000
16896.000,-5.082,3.061,0.802,0.000
16901.000,-4.882,3.156,0.808,0.001
16906.000,-4.861,3.259,0.814,0.001
16912.000,-4.840,3.362,0.819,0.000
16917.000,-4.632,3.454,0.725,-0.000
16922.000,-4.610,3.557,0.731,0.000
16927.000,-4.587,3.660,0.736,0.001
16932.000,-4.373,3.748,0.741,0.001
16938.000,-4.348,3.851,0.747,0.000
16943.000,-4.323,3.954,0.652,-0.000
16948.000,-4.102,4.038,0.657,0.000
16953.000,-4.086,4.042,0.662,0.001
16958.000,-4.059,4.145,0.667,0.001
16964.000,-3.833,4.226,0.672,0.000
16969.000,-3.816,4.229,0.577,-0.000
16974.000,-3.787,4.332,0.582,0.000
16979.000,-3.556,4.409,0.587,0.001
16984.000,-3.539,4.412,0.592,0.000
16989.000,-3.508,4.515,0.497,-0.000
16994.000,-3.476,4.618,0.501,0.000
17000.000,-3.254,4.591,0.506,0.001
17005.000,-3.220,4.694,0.511,0.001
17010.000,-3.187,4.796,0.515,0.000
17015.000,-2.961,4.765,0.420,-0.000
17020.000,-2.926,4.867,0.424,0.000
17025.000,-2.890,4.970,0.428,0.001
17030.000,-2.642,5.032,0.433,0.001
17035.000,-2.623,5.036,0.437,-0.000
17040.000,-2.586,5.138,0.341,-0.000
17046.000,-2.548,5.240,0.345,0.001
17051.000,-2.314,5.200,0.350,0.001
17056.000,-2.295,5.204,0.354,0.001
17061.000,-2.276,5.207,0.358,-0.000
17066.000,-2.257,5.211,0.262,-0.000
17071.000,-2.238,5.214,0.266,0.001
17076.000,-2.004,5.170,0.270,0.001
17081.000,-1.985,5.173,0.273,-0.000
17087.000,-1.944,5.274,0.177,-0.000
17092.000,-1.924,5.277,0.181,0.001
17097.000,-1.690,5.229,0.185,0.001
17102.000,-1.671,5.232,0.189,0.000
17107.000,-1.652,5.235,0.192,-0.000
17112.000,-1.633,5.238,0.096,0.000
17117.000,-1.613,5.241,0.100,0.001
17122.000,-1.380,5.188,0.103,0.000
17127.000,-1.335,5.287,0.107,-0.000
17132.000,-1.316,5.290,0.011,0.000
17137.000,-1.297,5.293,0.014,0.001
17142.000,-1.278,5.295,0.018,0.000
17147.000,-1.043,5.238,0.021,-0.000
17152.000,-1.025,5.241,-0.075,0.000
17157.000,-1.006,5.243,-0.072,0.001
17162.000,-0.773,5.182,-0.068,0.000
17166.000,-0.784,5.088,-0.065,0.000
17171.000,-0.766,5.090,-0.062,0.000
17176.000,-0.748,5.092,-0.158,-0.000
17181.000,-0.518,5.028,-0.155,0.000
17186.000,-0.501,5.030,-0.151,0.001
17191.000,-0.483,5.032,-0.148,0.000
17196.000,-0.496,4.939,-0.245,-0.000
17201.000,-0.271,4.871,-0.241,0.000
17206.000,-0.254,4.873,-0.238,0.001
17210.000,-0.237,4.875,-0.235,0.001
17215.000,-0.220,4.877,-0.231,-0.000
17220.000,0.003,4.805,-0.328,-0.000
17225.000,0.020,4.807,-0.325,0.001
17230.000,0.002,4.715,-0.321,0.000
17235.000,0.222,4.640,-0.318,0.000
17240.000,0.238,4.642,-0.315,0.000
17245.000,0.253,4.645,-0.411,0.000
17250.000,0.268,4.647,-0.408,0.000
17255.000,0.486,4.569,-0.405,0.000
17259.000,0.501,4.571,-0.402,0.001
17264.000,0.515,4.574,-0.398,-0.000
17269.000,0.731,4.493,-0.495,-0.000
17274.000,0.745,4.496,-0.492,0.001
17279.000,0.759,4.499,-0.489,0.001
17284.000,0.773,4.503,-0.485,0.000
17289.000,0.986,4.419,-0.482,-0.000
17293.000,0.959,4.331,-0.579,0.000
17298.000,0.972,4.335,-0.575,0.000
17303.000,1.182,4.249,-0.572,0.000
17308.000,1.194,4.253,-0.569,0.001
17313.000,1.207,4.258,-0.566,0.000
17318.000,1.415,4.169,-0.662,-0.000
17323.000,1.427,4.174,-0.659,0.000
17327.000,1.439,4.178,-0.656,0.001
17332.000,1.451,4.183,-0.652,0.000
17337.000,1.656,4.092,-0.649,-0.000
17342.000,1.668,4.097,-0.746,0.000
17347.000,1.679,4.102,-0.742,0.000
17352.000,1.690,4.108,-0.739,0.000
17356.000,1.893,4.013,-0.736,0.001
17361.000,1.951,4.108,-0.732,0.000
17366.000,1.962,4.114,-0.829,-0.000
17371.000,1.973,4.120,-0.826,0.000
17376.000,1.984,4.126,-0.823,0.001
17381.000,1.995,4.132,-0.819,-0.000
17385.000,2.006,4.139,-0.916,-0.000
17390.000,2.209,4.042,-0.913,0.001
17395.000,2.220,4.049,-0.910,0.000
17400.000,2.231,4.056,-0.907,-0.000
17405.000,2.242,4.063,-1.004,0.000
17410.000,2.252,4.070,-1.000,0.000
17414.000,2.263,4.078,-0.997,0.000
17419.000,2.514,4.065,-0.994,0.000
17424.000,2.525,4.073,-1.091,0.000
17429.000,2.535,4.081,-1.088,0.000
17434.000,2.546,4.089,-1.085,0.000
17438.000,2.557,4.097,-1.082,0.000
17443.000,2.618,4.192,-1.179,-0.000
17448.000,2.629,4.201,-1.176,0.000
17453.000,2.690,4.297,-1.174,0.001
17458.000,2.701,4.306,-1.171,-0.000
17462.000,2.762,4.402,-1.268,-0.000
17467.000,2.773,4.411,-1.265,0.001
17472.000,2.834,4.507,-1.263,0.000
17477.000,2.845,4.516,-1.260,-0.000
17482.000,2.907,4.613,-1.357,0.000
17486.000,2.968,4.709,-1.355,0.000
17491.000,2.979,4.719,-1.352,0.000
17496.000,3.040,4.815,-1.350,0.000
17501.000,2.850,4.940,-1.447,-0.000
17505.000,2.910,5.037,-1.445,0.000
17510.000,2.921,5.048,-1.442,0.001
17515.000,2.981,5.146,-1.440,-0.000
17520.000,2.993,5.156,-1.538,-0.000
17525.000,3.053,5.254,-1.535,0.001
17529.000,3.113,5.352,-1.533,0.000
17534.000,3.124,5.363,-1.631,-0.000
17539.000,3.136,5.374,-1.629,0.000
17544.000,3.356,5.267,-1.627,0.001
17548.000,3.368,5.278,-1.624,-0.000
17553.000,3.380,5.290,-1.722,-0.000
17558.000,3.598,5.179,-1.720,0.001
17563.000,3.610,5.190,-1.719,-0.000
17568.000,3.622,5.202,-1.817,-0.000
17572.000,3.838,5.088,-1.815,0.001
17577.000,3.850,5.099,-1.813,0.000
17582.000,3.862,5.111,-1.811,-0.000
17587.000,4.076,4.994,-1.909,0.000
17591.000,4.088,5.005,-1.908,0.000
17596.000,4.100,5.016,-1.906,0.000
17601.000,4.312,4.896,-1.905,0.001
17606.000,4.324,4.908,-1.903,-0.000
17611.000,4.337,4.919,-2.002,-0.000
17615.000,4.546,4.795,-2.001,0.001
17620.000,4.559,4.807,-1.999,0.000
17625.000,4.571,4.819,-1.998,0.000
17630.000,4.779,4.692,-1.997,0.000
17635.000,4.791,4.703,-2.096,-0.000
17639.000,4.804,4.715,-2.095,0.000
17644.000,4.949,4.504,-2.094,0.001
17649.000,4.962,4.515,-2.093,0.000
17654.000,4.976,4.527,-2.092,0.000
17658.000,5.116,4.315,-2.091,0.000
17663.000,5.129,4.326,-2.190,-0.000
17668.000,5.143,4.337,-2.190,0.000
17673.000,5.278,4.124,-2.189,0.001
17678.000,5.292,4.135,-2.188,0.000
17682.000,5.306,4.146,-2.188,0.000
17687.000,5.436,3.932,-2.187,0.001
17692.000,5.450,3.943,-2.186,-0.000
17697.000,5.464,3.954,-2.286,-0.000
17701.000,5.655,3.814,-2.285,0.001
17706.000,5.604,3.750,-2.285,0.000
17711.000,5.619,3.761,-2.285,0.000
17716.000,5.806,3.619,-2.284,0.001
17721.000,5.821,3.630,-2.284,0.000
17726.000,5.768,3.567,-2.284,-0.000
17730.000,5.952,3.423,-2.383,0.000
17735.000,5.967,3.434,-2.383,0.000
17740.000,5.914,3.372,-2.383,0.000
17745.000,6.093,3.227,-2.383,0.001
17750.000,6.039,3.166,-2.383,0.000
17755.000,6.054,3.176,-2.383,0.000
17760.000,6.230,3.030,-2.383,0.001
17764.000,6.175,2.970,-2.384,-0.000
17769.000,6.191,2.981,-2.484,-0.000
17774.000,6.363,2.832,-2.484,0.001
17779.000,6.307,2.774,-2.484,0.000
17784.000,6.323,2.785,-2.485,0.000
17789.000,6.492,2.635,-2.485,0.000
17794.000,6.435,2.578,-2.486,0.000
17799.000,6.452,2.589,-2.486,0.001
17803.000,6.617,2.437,-2.487,0.000
17808.000,6.559,2.381,-2.487,0.000
17813.000,6.576,2.392,-2.488,0.001
17818.000,6.738,2.240,-2.489,0.000
17823.000,6.679,2.185,-2.489,0.000
17828.000,6.760,1.967,-2.490,0.001
17833.000,6.700,1.914,-2.491,0.000
17838.000,6.640,1.861,-2.492,0.000
17842.000,6.636,1.583,-2.493,0.001
17847.000,6.576,1.531,-2.494,0.000
17852.000,6.642,1.319,-2.495,0.001
17857.000,6.581,1.269,-2.396,0.001
17862.000,6.642,1.059,-2.397,0.000
17867.000,6.579,1.010,-2.398,0.000
17872.000,6.553,0.743,-2.399,0.001
17877.000,6.490,0.695,-2.400,0.000
17882.000,6.538,0.491,-2.402,0.000
17887.000,6.473,0.445,-2.403,0.001
17892.000,6.516,0.243,-2.404,0.000
17897.000,6.451,0.198,-2.405,0.000
17902.000,6.488,-0.001,-2.406,0.001
17907.000,6.422,-0.044,-2.408,0.000
17912.000,6.368,-0.294,-2.409,0.000
17917.000,6.302,-0.336,-2.410,0.001
17922.000,6.327,-0.529,-2.412,0.000
17927.000,6.174,-0.621,-2.413,0.001
17932.000,6.107,-0.859,-2.315,0.001
17937.000,5.866,-0.999,-2.316,0.000
17942.000,5.711,-1.089,-2.318,0.000
17947.000,5.634,-1.316,-2.319,0.001
17952.000,5.477,-1.403,-2.321,0.000
17957.000,5.234,-1.539,-2.322,0.000
17962.000,5.147,-1.754,-2.324,0.001
17967.000,4.989,-1.839,-2.325,0.001
17973.000,4.831,-1.924,-2.227,0.001
17978.000,4.646,-2.174,-2.229,0.001
17983.000,4.487,-2.256,-2.230,0.000
17988.000,4.384,-2.451,-2.232,0.000
17993.000,4.223,-2.531,-2.233,0.001
17998.000,4.023,-2.760,-2.135,0.001
18003.000,3.908,-2.940,-2.137,0.000
18008.000,3.744,-3.014,-2.138,0.001
