Flight,Number,Date,Time,Tropopause
[site + #],[integer],[yyyy-mm-dd],[UTC hh:mm],[m]
T,01,12/13/2020,16:00,12000
T,02,12/13/2020,17:00,12000
T,03,12/13/2020,18:00,12000
T,04,12/13/2020,19:00,12000
T,05,12/13/2020,20:00,12000
T,06,12/13/2020,21:00,12000
T,07,12/13/2020,22:00,12000
T,08,12/13/2020,23:00,12000
T,09,12/14/2020,0:00,12000
T,10,12/14/2020,1:00,12000
T,11,12/14/2020,2:00,12000
T,12,12/14/2020,3:00,12000
T,13,12/14/2020,4:00,12000
T,14,12/14/2020,5:00,12000
T,15,12/14/2020,6:00,12000
T,16,12/14/2020,7:00,12000
T,17,12/14/2020,8:00,12000
T,18,12/14/2020,9:00,12000
T,19,12/14/2020,10:00,12000
T,20,12/14/2020,11:00,12000
T,21,12/14/2020,12:00,12000
T,22,12/14/2020,13:00,12000
T,23,12/14/2020,14:00,12000
T,24,12/14/2020,15:00,12000
T,25,12/14/2020,15:30,12000
T,26,12/14/2020,16:30,12000
T,27,12/14/2020,17:30,12000
T,28,12/14/2020,18:30,12000
T,29,12/14/2020,19:30,12000
T,30,12/14/2020,20:30,12000
T,31,12/14/2020,21:30,12000
T,32,12/14/2020,22:30,12000
T,33,12/14/2020,23:30,12000
T,34,12/15/2020,0:30,12000
T,35,12/15/2020,1:30,12000
T,36,12/15/2020,2:30,12000
T,37,12/15/2020,3:30,12000
T,38,12/15/2020,4:30,12000
T,39,12/15/2020,5:30,12000
T,40,12/15/2020,6:30,12000
T,41,12/15/2020,7:30,12000
T,42,12/15/2020,8:30,12000
T,43,12/15/2020,9:30,12000
T,44,12/15/2020,10:30,12000
T,45,12/15/2020,11:30,12000
T,46,12/15/2020,12:30,12000
T,47,12/15/2020,13:30,12000
T,48,12/15/2020,14:30,12000
T,49,12/15/2020,15:30,12000
T,50,12/15/2020,16:30,12000
